time_s,face_id,x1,y1,x2,y2
27.8,0,228,37,306,150
28.0,0,229,36,307,152
28.2,0,230,36,308,148
28.4,0,231,38,309,149
28.6,0,232,41,311,151
28.8,0,232,41,311,154
29.0,0,229,39,308,150
29.2,0,229,40,308,152
29.4,0,227,40,306,154
29.6,0,226,40,305,153
29.8,0,227,41,305,154
30.0,0,229,42,307,153
30.2,0,231,43,309,153
30.4,0,231,44,309,154
30.6,0,230,44,308,156
30.8,0,229,43,307,156
31.0,0,226,41,305,155
31.2,0,225,44,303,157
31.4,1,320,51,416,193
31.6,1,320,51,416,193
31.8,1,320,50,417,193
32.0,1,320,51,416,194
32.2,1,320,50,418,191
32.4,1,318,55,413,193
32.6,1,317,55,413,198
32.8,1,316,55,412,194
33.0,1,317,55,412,194
33.2,1,320,51,417,193
33.4,1,321,50,421,191
33.6,1,321,51,422,189
33.8,1,323,51,421,189
34.0,1,324,51,422,188
34.2,1,412,76,456,139
34.2,0,258,85,302,142
34.4,1,411,102,452,165
34.4,0,272,91,316,146
34.6,0,254,77,298,131
34.6,1,406,87,446,148
34.8,1,412,99,455,161
34.8,0,243,90,287,144
35.0,1,407,95,451,160
35.0,0,239,76,283,135
35.2,1,403,104,450,168
35.2,0,249,109,294,164
35.4,1,408,109,452,174
35.4,0,258,100,301,154
35.6,1,410,81,457,143
35.6,0,257,86,298,142
35.8,1,405,86,451,150
35.8,0,242,87,285,143
36.0,1,406,55,454,120
36.0,0,242,56,289,115
36.2,1,416,82,462,146
36.2,0,255,84,301,140
36.4,1,414,68,460,132
36.4,0,257,65,302,121
36.6,1,415,84,463,149
36.6,0,264,84,311,141
36.8,1,395,66,442,131
36.8,0,240,68,287,125
36.8,-1,116,148,154,198
37.0,1,399,52,448,120
37.0,0,241,56,290,118
37.0,-1,143,140,180,191
37.2,1,407,54,456,123
37.2,0,248,55,297,120
37.4,1,408,40,458,109
37.4,0,243,33,292,98
37.6,2,340,36,428,167
37.8,2,337,37,427,170
38.0,2,335,45,425,171
38.2,2,334,55,422,176
38.4,2,331,58,419,180
38.6,2,328,57,418,179
38.8,2,325,55,417,178
39.0,2,325,59,416,182
39.2,2,328,64,418,180
39.4,2,330,61,419,178
39.6,2,331,55,421,175
39.8,2,331,55,420,175
40.0,1,417,50,472,126
40.0,0,214,47,268,121
40.2,1,408,78,463,158
40.2,0,202,69,257,143
40.4,1,401,61,455,139
40.4,0,193,63,248,135
40.6,0,195,55,251,130
40.6,1,400,67,455,147
40.8,1,398,57,454,138
40.8,0,202,58,258,132
41.0,1,386,51,445,136
41.0,0,193,36,251,113
41.2,0,194,56,251,133
41.2,1,390,72,450,154
41.4,1,403,58,465,141
41.4,0,190,54,248,133
41.6,1,345,32,443,160
41.8,1,342,34,437,159
42.0,1,338,38,432,172
42.2,1,336,39,430,178
