face_id,start_s,end_s
0,28.8,29.2
1,32.0,32.2
1,32.6,32.8
1,34.4,34.6
2,38.6,39.0
1,40.4,41.2
0,41.2,41.400000000000006
1,42.2,42.6
1,43.6,43.800000000000004
3,44.6,44.800000000000004
0,47.6,47.800000000000004
0,52.6,52.8
5,54.0,54.2
5,55.2,56.0
2,57.4,57.6
2,58.0,58.4
0,59.2,59.400000000000006
0,60.0,60.2
1,61.0,61.2
0,63.6,64.0
1,85.6,86.4
0,88.4,88.60000000000001
1,88.4,88.60000000000001
0,92.6,93.2
1,95.0,95.4
1,96.2,96.4
0,98.0,98.4
1,98.6,98.8
1,99.8,100.0
1,100.4,100.60000000000001
1,101.0,101.2
1,102.6,103.4
0,103.4,105.0
1,106.0,106.2
0,107.6,108.2
0,109.4,110.6
1,111.0,111.2
1,111.8,112.0
1,112.8,113.0
1,113.4,113.6
1,114.4,116.4
1,121.0,121.2
1,122.2,123.2
1,123.8,124.2
1,124.8,125.4
0,125.4,126.0
1,126.0,126.2
0,126.6,126.8
0,127.2,127.4
1,128.2,128.4
1,131.6,131.79999999999998
1,133.4,133.6
1,134.8,135.0
1,136.8,137.0
1,138.2,138.39999999999998
1,139.2,139.39999999999998
1,140.0,140.4
1,142.8,143.0
1,143.8,144.0
1,145.0,145.2
0,146.4,146.6
0,147.4,148.0
1,149.8,150.0
1,151.6,151.79999999999998
1,152.2,152.39999999999998
1,153.2,153.39999999999998
0,154.8,155.0
1,157.4,158.2
1,159.4,159.6
1,160.6,161.0
1,164.4,164.6
0,166.0,166.2
1,170.0,170.4
1,171.2,171.39999999999998
1,171.8,172.0
0,172.4,173.6
1,172.6,173.6
1,174.6,174.79999999999998
1,175.2,175.39999999999998
1,177.8,178.8
0,179.6,180.0
1,179.6,180.0
1,180.8,181.0
1,182.0,182.2
1,183.0,183.8
1,185.0,187.6
0,187.8,188.0
0,188.8,189.0
1,189.0,189.6
1,190.6,190.8
1,192.4,192.6
1,193.6,193.8
1,195.4,195.8
0,196.6,197.0
1,198.2,198.39999999999998
1,198.8,199.2
1,201.6,203.4
1,204.2,204.39999999999998
1,206.6,209.0
1,209.6,210.2
1,211.0,212.0
1,213.0,213.4
0,214.6,214.79999999999998
1,215.2,216.2
1,216.8,217.0
0,217.4,218.2
1,218.8,219.2
1,219.8,220.0
1,223.4,223.6
1,224.4,224.6
1,225.4,225.6
0,225.4,226.0
1,226.4,226.6
0,227.0,227.8
1,227.4,227.6
1,229.0,229.2
1,230.6,231.8
1,233.0,233.6
1,234.6,234.79999999999998
1,237.2,237.39999999999998
1,238.4,238.6
1,240.6,240.79999999999998
1,241.2,242.6
1,243.4,244.4
1,245.0,245.8
1,246.8,247.2
0,250.4,250.6
1,251.8,252.2
0,252.8,253.0
1,254.6,254.79999999999998
1,255.4,255.6
1,256.2,256.4
1,257.0,257.6
1,259.0,259.2
1,259.8,260.0
1,260.6,260.8
0,261.8,262.6
1,262.2,262.6
0,263.4,264.0
1,265.6,266.0
1,267.6,267.8
1,268.4,268.59999999999997
1,269.4,269.8
7,275.6,275.8
0,278.0,278.2
10,279.2,279.4
0,281.6,281.8
9,282.6,284.0
9,284.6,284.8
10,284.6,285.0
9,285.2,285.4
9,286.2,286.4
9,287.0,287.8
9,288.4,289.0
9,289.8,290.0
10,290.4,290.59999999999997
10,292.6,293.4
9,293.4,293.59999999999997
10,295.0,295.4
9,296.4,298.2
10,297.4,297.8
1,304.4,304.59999999999997
4,308.4,308.6
3,308.4,309.0
3,310.2,310.4
4,311.4,311.6
7,312.4,312.6
1,312.6,312.8
4,315.6,316.0
7,317.4,317.59999999999997
1,317.6,317.8
1,319.4,319.6
3,320.4,321.0
4,322.8,323.4
4,328.0,328.6
5,329.4,329.6
5,330.6,330.8
5,331.8,332.4
1,332.8,333.4
3,337.6,337.8
4,339.8,340.4
13,345.6,346.2
13,346.8,347.0
15,348.0,348.8
14,348.4,348.59999999999997
15,350.4,350.59999999999997
13,350.6,350.8
15,353.4,354.6
9,355.8,356.4
10,356.4,356.59999999999997
20,357.8,358.4
20,359.2,359.4
0,360.4,360.8
15,362.0,362.4
15,363.2,363.4
16,364.6,365.4
17,364.8,365.4
13,366.8,367.0
13,368.0,368.2
15,368.6,368.8
20,378.2,378.6
13,386.0,386.2
20,393.4,393.8
13,404.0,405.0
13,406.4,406.59999999999997
15,409.6,410.0
15,411.2,411.4
20,412.4,412.8
26,414.8,415.4
26,416.0,416.2
16,425.0,425.8
20,429.4,429.59999999999997
15,431.0,431.6
9,433.0,433.4
13,434.6,435.0
20,436.0,436.2
20,437.8,438.0
20,441.2,442.2
26,443.0,444.4
20,445.8,446.0
26,446.8,447.6
26,448.2,448.6
26,449.4,449.8
20,450.4,450.59999999999997
14,455.2,455.4
15,455.2,455.6
17,456.2,456.4
15,456.4,457.6
14,457.0,457.6
20,458.4,458.6
13,460.2,460.4
15,461.4,461.6
15,462.2,462.4
20,463.2,463.4
20,464.0,464.2
20,465.0,465.2
20,465.6,465.8
20,467.2,467.4
17,470.0,470.2
13,470.8,471.0
17,470.8,471.0
16,473.0,473.4
15,473.0,474.0
14,473.2,473.4
14,474.4,474.59999999999997
16,474.4,474.59999999999997
16,475.2,475.4
14,475.6,475.8
16,476.0,476.2
3,484.2,484.6
1,487.0,487.8
1,495.8,496.0
3,497.4,497.59999999999997
3,498.0,498.2
4,498.0,498.2
4,498.8,499.8
20,500.8,501.0
4,506.0,506.2
1,512.4,512.6
0,516.2,516.6
0,517.6,517.8000000000001
13,527.8,528.0
0,534.4,534.6
13,536.0,537.0
13,537.6,537.8000000000001
0,538.4,539.2
0,540.8,541.0
0,544.4,544.6
0,545.2,545.6
0,546.8,547.0
13,547.2,547.6
0,547.4,547.6
8,548.6,548.8000000000001
0,551.6,551.8
13,551.8,552.0
13,554.4,554.6
13,555.6,555.8000000000001
0,556.2,557.0
0,557.6,558.0
8,559.0,559.2
30,559.0,559.2
8,561.4,561.6
8,567.0,567.4
30,567.4,567.6
30,570.2,570.8
8,570.4,570.6
8,571.4,571.6
30,571.6,571.8000000000001
13,573.0,573.2
30,574.0,574.2
37,584.6,584.8000000000001
30,587.0,587.2
30,588.2,588.4000000000001
37,590.8,591.0
8,594.2,594.4000000000001
8,595.0,595.8
37,598.4,598.8
30,600.8,601.0
8,602.8,603.0
30,604.0,604.2
30,604.8,605.0
30,607.4,607.6
8,608.4,608.6
30,608.4,608.6
13,608.6,608.8000000000001
13,609.4,609.6
30,610.0,610.6
30,611.2,611.4000000000001
30,612.2,613.0
8,613.8,614.0
30,613.8,614.4
8,614.6,614.8000000000001
30,615.4,616.0
38,616.4,616.6
0,617.8,619.2
13,618.6,618.8000000000001
30,620.6,620.8
38,621.4,621.6
0,629.2,629.4
0,642.8,643.0
30,644.4,644.6
8,646.4,646.6
0,653.6,653.8000000000001
13,653.6,653.8000000000001
0,658.4,658.6
0,659.0,659.2
13,661.0,661.4
30,663.0,663.6
0,665.2,665.4000000000001
0,665.8,666.0
0,666.6,667.0
0,667.8,668.0
13,667.8,668.0
0,668.4,669.4
0,679.8,680.0
13,681.2,681.4000000000001
0,685.6,687.0
13,688.0,688.2
13,688.8,689.4
0,690.2,690.6
40,691.4,692.0
40,692.6,692.8000000000001
40,694.4,695.6
13,694.8,695.0
13,696.4,696.6
40,696.4,697.2
13,697.2,697.4000000000001
13,698.0,698.2
40,698.0,699.0
40,699.8,700.6
40,701.2,701.6
40,702.2,702.6
13,704.2,704.4000000000001
40,706.0,706.2
13,707.4,707.8
13,711.6,712.0
40,713.2,713.4000000000001
13,714.2,714.4000000000001
40,714.2,714.4000000000001
13,715.2,715.4000000000001
40,715.2,715.6
13,716.4,716.6
13,717.4,718.0
13,722.0,723.6
40,722.2,722.4
40,723.0,723.6
13,724.6,725.4
40,724.6,725.4
13,726.2,726.4
13,728.2,728.4
13,729.2,729.4000000000001
40,731.4,731.6
13,733.2,733.4000000000001
13,738.2,738.4000000000001
40,741.8,742.0
40,742.4,742.6
40,743.2,743.4
40,744.0,744.4
0,745.4,746.4
13,747.6,748.2
13,751.0,751.2
42,761.8,763.4
42,766.0,766.2
13,767.8,768.0
42,768.4,769.0
42,770.0,770.2
42,771.0,771.6
13,771.6,772.2
42,772.2,772.4
40,774.0,774.2
40,774.6,775.4
42,776.8,777.0
40,779.2,779.4000000000001
40,779.8,780.4
40,781.0,781.2
42,786.4,787.2
13,788.0,789.0
40,790.2,790.4000000000001
40,792.0,792.4
40,793.0,793.2
40,793.8,794.2
40,794.8,795.0
