face_id,start_s,end_s
0,27.800,31.200
0,34.200,37.400
0,40.000,41.400
0,46.400,48.600
0,49.800,51.000
0,52.400,53.600
0,59.000,60.400
0,63.000,65.000
0,68.000,71.200
0,75.600,76.200
0,78.000,79.400
0,86.600,89.600
0,92.600,110.800
0,116.800,119.400
0,125.200,127.800
0,129.600,134.600
0,137.200,144.200
0,146.200,148.200
0,151.000,151.400
0,153.200,158.000
0,161.600,167.800
0,172.200,180.200
0,183.000,184.400
0,187.800,188.800
0,196.000,197.600
0,200.000,202.000
0,203.200,210.200
0,214.200,215.000
0,217.200,230.000
0,236.400,236.400
0,237.600,240.200
0,243.000,251.200
0,252.800,259.600
0,260.800,264.800
0,270.800,275.200
0,277.800,279.000
0,281.400,282.200
0,290.800,292.400
0,299.200,302.000
0,341.400,345.000
0,360.000,361.800
0,478.200,480.400
0,514.000,520.400
0,529.600,535.600
0,538.000,548.000
0,550.200,554.000
0,556.200,558.200
0,559.800,560.800
0,562.200,563.200
0,572.400,573.600
0,608.600,609.400
0,617.200,620.000
0,621.800,622.800
0,626.200,641.200
0,642.800,644.000
0,647.200,662.800
0,665.000,681.200
0,683.000,687.600
0,689.800,691.000
0,745.000,747.600
0,749.400,750.200
0,816.800,817.800
0,820.200,823.000
0,825.000,829.600
0,852.000,853.200
0,856.800,857.600
0,860.800,862.800
0,870.200,871.400
1,31.400,37.400
1,40.000,44.000
1,46.400,49.400
1,51.200,52.200
1,60.600,62.800
1,68.000,71.200
1,73.800,83.000
1,85.000,86.400
1,87.800,88.400
1,89.800,92.400
1,94.600,96.400
1,98.600,103.400
1,105.400,107.200
1,111.000,116.600
1,119.600,126.600
1,128.000,133.400
1,134.800,146.200
1,148.400,154.600
1,156.200,161.400
1,162.600,165.200
1,168.000,187.600
1,189.000,195.800
1,197.800,217.000
1,218.600,252.600
1,254.000,270.600
1,275.400,275.600
1,302.200,307.400
1,312.200,315.400
1,316.800,320.000
1,324.000,327.400
1,332.800,337.000
1,485.200,491.600
1,495.600,496.800
1,502.400,504.200
1,507.400,509.000
1,511.400,513.800
1,830.400,832.800
1,838.400,838.800
1,841.200,843.000
1,848.200,849.000
1,850.600,850.600
1,853.400,853.600
1,858.800,860.600
1,863.000,864.400
1,868.800,870.000
2,37.600,39.800
2,57.200,58.800
3,44.200,46.200
3,275.800,277.600
3,302.200,304.000
3,305.800,318.400
3,320.200,329.000
3,334.200,341.200
3,480.600,485.000
3,493.400,495.400
3,497.000,500.400
3,505.600,511.800
3,829.800,850.200
3,865.200,867.200
3,874.800,878.600
3,886.600,889.800
4,44.200,46.200
4,308.200,312.000
4,315.600,316.600
4,320.200,323.400
4,327.600,329.000
4,337.200,341.200
4,483.600,485.000
4,497.000,500.400
4,505.600,507.200
4,833.000,838.200
4,843.400,848.000
4,865.000,867.400
4,874.400,875.400
4,877.000,878.600
4,884.200,889.800
5,53.800,57.000
5,83.200,84.800
5,329.200,332.600
6,94.000,94.400
7,275.600,277.600
7,302.200,304.000
7,305.800,308.000
7,312.200,315.400
7,316.800,318.400
7,323.600,327.400
7,334.200,337.000
7,480.600,483.000
7,493.200,495.400
7,507.400,511.800
7,829.800,832.800
7,838.400,843.200
7,848.200,850.400
7,865.200,867.200
8,276.200,277.600
8,302.200,304.000
8,305.800,308.000
8,312.200,315.400
8,316.800,318.400
8,323.600,327.400
8,334.200,337.000
8,375.400,375.800
8,391.400,391.400
8,480.600,482.400
8,492.800,495.400
8,504.600,505.400
8,507.400,511.800
8,548.200,550.000
8,558.400,559.600
8,561.000,562.000
8,563.400,564.200
8,566.800,567.800
8,570.000,572.200
8,573.800,575.800
8,594.200,596.800
8,601.200,611.800
8,613.600,617.000
8,618.400,621.600
8,623.000,626.800
8,628.400,632.600
8,645.600,647.000
8,829.800,832.800
8,838.400,843.200
8,848.200,850.000
8,856.000,856.000
8,858.000,858.000
8,875.600,876.800
9,279.200,281.200
9,282.400,290.600
9,292.600,299.000
9,355.400,357.400
9,432.200,434.200
10,279.200,281.200
10,282.400,290.600
10,292.600,299.000
10,355.400,357.400
10,432.200,434.200
11,325.400,326.200
12,326.800,327.400
13,345.200,351.600
13,366.000,368.200
13,385.600,386.600
13,403.800,406.800
13,434.400,435.400
13,459.800,460.800
13,468.400,471.200
13,473.000,475.800
13,477.200,477.800
13,524.800,528.400
13,535.800,537.800
13,541.400,544.200
13,546.000,548.000
13,550.200,556.000
13,559.800,560.800
13,562.200,563.200
13,572.400,573.600
13,608.600,609.400
13,617.200,620.000
13,621.800,622.800
13,626.200,634.400
13,636.800,642.600
13,647.200,662.800
13,665.000,682.800
13,687.800,689.600
13,693.400,706.000
13,707.200,708.400
13,711.600,730.800
13,733.000,738.200
13,746.600,748.400
13,750.600,751.600
13,753.600,761.400
13,764.400,768.000
13,770.600,775.800
13,777.400,785.400
13,787.800,801.800
13,805.800,812.000
13,815.400,816.600
13,818.000,820.000
13,823.200,824.800
14,347.400,352.800
14,383.000,385.400
14,389.400,392.800
14,399.400,402.600
14,420.400,422.600
14,453.400,458.000
14,468.400,471.200
14,473.000,475.800
15,347.400,355.200
15,362.000,363.800
15,368.400,369.400
15,371.600,377.200
15,383.000,385.400
15,389.400,392.800
15,398.200,402.600
15,408.400,411.600
